Магазин,Ссылка на магазин,Год основания,Продажи
bplanekids,https://www.etsy.com/shop/bplanekids,2020,187
BlingUstyle,https://www.etsy.com/shop/BlingUstyle,2017,596
AtelierLemnia,https://www.etsy.com/shop/AtelierLemnia,2014,37
FuScra,https://www.etsy.com/shop/FuScra,2014,104
AnaKoutsi,https://www.etsy.com/shop/AnaKoutsi,2012,"2,134"
ConstanceHandcrafted,https://www.etsy.com/shop/ConstanceHandcrafted,2013,"6,503"
ANGEEW,https://www.etsy.com/shop/ANGEEW,2009,"7,375"
BagsyMeFirst,https://www.etsy.com/shop/BagsyMeFirst,2013,"2,775"
rebekajewelry,https://www.etsy.com/shop/rebekajewelry,2011,"8,358"
SaloneStarr,https://www.etsy.com/shop/SaloneStarr,2013,"2,374"
GingermegsVintage,https://www.etsy.com/shop/GingermegsVintage,2011,"3,659"
VintageChixx,https://www.etsy.com/shop/VintageChixx,2021,16
GemAndLove,https://www.etsy.com/shop/GemAndLove,2020,113
CustomDKalsbyKalli,https://www.etsy.com/shop/CustomDKalsbyKalli,2017,692
JuniperAndLace,https://www.etsy.com/shop/JuniperAndLace,2013,"2,087"
PepperAlley,https://www.etsy.com/shop/PepperAlley,2014,126
kimberleymac,https://www.etsy.com/shop/kimberleymac,,0
MeSaleBordado,https://www.etsy.com/shop/MeSaleBordado,2014,566
BagNoir,https://www.etsy.com/shop/BagNoir,2010,"1,788"
NomadicChicken,https://www.etsy.com/shop/NomadicChicken,2016,448
allNickyPopUpCards,https://www.etsy.com/shop/allNickyPopUpCards,2017,"12,606"
GLOBALCREATIONStudio,https://www.etsy.com/shop/GLOBALCREATIONStudio,2016,27
TOMBASANA,https://www.etsy.com/shop/TOMBASANA,,0
CorkCraftsClay,https://www.etsy.com/shop/CorkCraftsClay,2015,"2,542"
AnabellaWomen,https://www.etsy.com/shop/AnabellaWomen,2014,"6,351"
DianaWorldStore,https://www.etsy.com/shop/DianaWorldStore,,0
queserabags,https://www.etsy.com/shop/queserabags,2015,966
VitaGordievska,https://www.etsy.com/shop/VitaGordievska,2014,174
OnlyArtisan,https://www.etsy.com/shop/OnlyArtisan,2014,"3,754"
hairoo,https://www.etsy.com/shop/hairoo,2012,"9,021"
TheGiftyRoom,https://www.etsy.com/shop/TheGiftyRoom,2016,"18,978"
GLENTE,https://www.etsy.com/shop/GLENTE,2017,61
SisterPlusSister,https://www.etsy.com/shop/SisterPlusSister,2016,"4,297"
ANJESYdesign,https://www.etsy.com/shop/ANJESYdesign,2015,"1,182"
YickeNL,https://www.etsy.com/shop/YickeNL,2017,116
EtHopDansLaPoche,https://www.etsy.com/shop/EtHopDansLaPoche,2016,"73,961"
simonabridal,https://www.etsy.com/shop/simonabridal,2017,154
Justbagzz,https://www.etsy.com/shop/Justbagzz,,0
BobbyPinBoutiqueNL,https://www.etsy.com/shop/BobbyPinBoutiqueNL,2014,753
JoynerAvenue,https://www.etsy.com/shop/JoynerAvenue,2010,"1,286"
PetitDunnocks,https://www.etsy.com/shop/PetitDunnocks,2015,"1,621"
cremeleather,https://www.etsy.com/shop/cremeleather,2015,"2,468"
mylinenart,https://www.etsy.com/shop/mylinenart,2014,914
GoodMoodMoon,https://www.etsy.com/shop/GoodMoodMoon,2014,"7,144"
EricaMaree,https://www.etsy.com/shop/EricaMaree,2010,"5,507"
maykobags,https://www.etsy.com/shop/maykobags,2012,"8,738"
MartenLab,https://www.etsy.com/shop/MartenLab,2013,293
katieUjanes,https://www.etsy.com/shop/katieUjanes,2013,"1,789"
LadyMirageDesign,https://www.etsy.com/shop/LadyMirageDesign,,0
sandnpearls,https://www.etsy.com/shop/sandnpearls,2015,41
LudaMelnick,https://www.etsy.com/shop/LudaMelnick,2015,"5,201"
ETHNICWORLDCRAFTS,https://www.etsy.com/shop/ETHNICWORLDCRAFTS,2020,229
