Магазин,Ссылка на магазин,Год основания,Продажи
OnlyArtisan,https://www.etsy.com/shop/OnlyArtisan,2014,"3,754"
MrLentz,https://www.etsy.com/shop/MrLentz,2011,"21,356"
boejackdesigns,https://www.etsy.com/shop/boejackdesigns,2016,"4,534"
TheOldCottageGarden,https://www.etsy.com/shop/TheOldCottageGarden,2013,"1,240"
JustPeacockEV,https://www.etsy.com/shop/JustPeacockEV,2012,"1,299"
OlgaHengst,https://www.etsy.com/shop/OlgaHengst,2013,390
VintageSignora,https://www.etsy.com/shop/VintageSignora,2014,825
EmmaFlorenceParis,https://www.etsy.com/shop/EmmaFlorenceParis,,0
AmoreTreasure,https://www.etsy.com/shop/AmoreTreasure,2010,"17,046"
Lescreasdemyrtille,https://www.etsy.com/shop/Lescreasdemyrtille,,0
TheaLouiseShop,https://www.etsy.com/shop/TheaLouiseShop,2015,"2,820"
simpliflydesign,https://www.etsy.com/shop/simpliflydesign,2014,299
BonneAmieBoutique,https://www.etsy.com/shop/BonneAmieBoutique,2012,440
eclu,https://www.etsy.com/shop/eclu,2007,"6,195"
ESTASSEN,https://www.etsy.com/shop/ESTASSEN,2016,1
Hurleyburleygifts,https://www.etsy.com/shop/Hurleyburleygifts,2015,"57,509"
PegandAwl,https://www.etsy.com/shop/PegandAwl,2010,"27,251"
YAMAKOfr,https://www.etsy.com/shop/YAMAKOfr,,0
cimarronhandbags,https://www.etsy.com/shop/cimarronhandbags,2015,356
hairoo,https://www.etsy.com/shop/hairoo,2012,"9,021"
MADEinLOVEDESIGN,https://www.etsy.com/shop/MADEinLOVEDESIGN,2012,"1,033"
ECOfriendlyBagsUA,https://www.etsy.com/shop/ECOfriendlyBagsUA,2021,0
VitaGordievska,https://www.etsy.com/shop/VitaGordievska,2014,174
RylasCorner,https://www.etsy.com/shop/RylasCorner,2013,"3,329"
CherrBags,https://www.etsy.com/shop/CherrBags,2014,"27,591"
SaloneStarr,https://www.etsy.com/shop/SaloneStarr,2013,"2,374"
Whimsybags,https://www.etsy.com/shop/Whimsybags,2011,"13,569"
RedOstrich,https://www.etsy.com/shop/RedOstrich,2010,526
